"filename", "language", "JavaScript", "PHP", "CSS", "JSON", "XML", "Markdown", "Less", "SCSS", "Ruby", "comment", "blank", "total"
"d:\programming\uniProject\uniProject\public\assets\css\bootstrap.min.css", "CSS", 0, 0, 9893, 0, 0, 0, 0, 0, 0, 7, 1, 9901
"d:\programming\uniProject\uniProject\public\assets\css\dark-theme.css", "CSS", 0, 0, 462, 0, 0, 0, 0, 0, 0, 2, 250, 714
"d:\programming\uniProject\uniProject\public\assets\css\pace.min.css", "CSS", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 101
"d:\programming\uniProject\uniProject\public\assets\css\style.css", "CSS", 0, 0, 744, 0, 0, 0, 0, 0, 0, 32, 208, 984
"d:\programming\uniProject\uniProject\public\assets\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\programming\uniProject\uniProject\public\assets\js\index.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37, 149
"d:\programming\uniProject\uniProject\public\assets\js\jquery.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\programming\uniProject\uniProject\public\assets\js\loader.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9
"d:\programming\uniProject\uniProject\public\assets\js\main.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21, 51
"d:\programming\uniProject\uniProject\public\assets\js\pace.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\js\shop-grid.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 23
"d:\programming\uniProject\uniProject\public\assets\plugins\perfect-scrollbar\css\perfect-scrollbar.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\plugins\perfect-scrollbar\js\perfect-scrollbar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\config.rb", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\fonts\slick.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.css", "CSS", 0, 0, 173, 0, 0, 0, 0, 0, 0, 12, 37, 222
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.less", "Less", 0, 0, 0, 0, 0, 0, 152, 0, 0, 5, 12, 169
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick-theme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 170, 0, 9, 16, 195
"d:\programming\uniProject\uniProject\public\assets\plugins\slick\slick.css", "CSS", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 14, 120
